id,Attack_type
2,DOS_SYN_Hping
11,DOS_SYN_Hping
15,DOS_SYN_Hping
16,DOS_SYN_Hping
18,DOS_SYN_Hping
43,DOS_SYN_Hping
44,DOS_SYN_Hping
52,DOS_SYN_Hping
53,DOS_SYN_Hping
60,DOS_SYN_Hping
67,DOS_SYN_Hping
71,DOS_SYN_Hping
75,DOS_SYN_Hping
86,DOS_SYN_Hping
89,DOS_SYN_Hping
90,DOS_SYN_Hping
109,DOS_SYN_Hping
113,DOS_SYN_Hping
114,DOS_SYN_Hping
115,DOS_SYN_Hping
120,DOS_SYN_Hping
124,DOS_SYN_Hping
128,DOS_SYN_Hping
129,DOS_SYN_Hping
136,DOS_SYN_Hping
140,DOS_SYN_Hping
142,DOS_SYN_Hping
143,DOS_SYN_Hping
146,DOS_SYN_Hping
147,DOS_SYN_Hping
155,DOS_SYN_Hping
160,DOS_SYN_Hping
165,DOS_SYN_Hping
183,DOS_SYN_Hping
186,DOS_SYN_Hping
191,DOS_SYN_Hping
192,DOS_SYN_Hping
193,DOS_SYN_Hping
194,DOS_SYN_Hping
195,DOS_SYN_Hping
203,DOS_SYN_Hping
204,DOS_SYN_Hping
205,DOS_SYN_Hping
206,DOS_SYN_Hping
219,DOS_SYN_Hping
224,DOS_SYN_Hping
225,DOS_SYN_Hping
226,DOS_SYN_Hping
238,DOS_SYN_Hping
240,DOS_SYN_Hping
241,DOS_SYN_Hping
244,DOS_SYN_Hping
249,DOS_SYN_Hping
250,DOS_SYN_Hping
268,DOS_SYN_Hping
269,DOS_SYN_Hping
270,DOS_SYN_Hping
272,DOS_SYN_Hping
275,DOS_SYN_Hping
276,DOS_SYN_Hping
277,DOS_SYN_Hping
284,DOS_SYN_Hping
287,DOS_SYN_Hping
298,DOS_SYN_Hping
305,DOS_SYN_Hping
307,DOS_SYN_Hping
310,DOS_SYN_Hping
314,DOS_SYN_Hping
320,DOS_SYN_Hping
327,DOS_SYN_Hping
336,DOS_SYN_Hping
340,DOS_SYN_Hping
348,DOS_SYN_Hping
359,DOS_SYN_Hping
365,DOS_SYN_Hping
370,DOS_SYN_Hping
374,DOS_SYN_Hping
383,DOS_SYN_Hping
387,DOS_SYN_Hping
405,DOS_SYN_Hping
406,DOS_SYN_Hping
422,DOS_SYN_Hping
423,DOS_SYN_Hping
430,DOS_SYN_Hping
446,DOS_SYN_Hping
448,DOS_SYN_Hping
452,DOS_SYN_Hping
464,DOS_SYN_Hping
470,DOS_SYN_Hping
484,DOS_SYN_Hping
489,DOS_SYN_Hping
492,DOS_SYN_Hping
497,DOS_SYN_Hping
498,DOS_SYN_Hping
504,DOS_SYN_Hping
514,DOS_SYN_Hping
519,DOS_SYN_Hping
529,DOS_SYN_Hping
531,DOS_SYN_Hping
536,DOS_SYN_Hping
566,DOS_SYN_Hping
570,DOS_SYN_Hping
572,DOS_SYN_Hping
583,DOS_SYN_Hping
584,DOS_SYN_Hping
589,DOS_SYN_Hping
596,DOS_SYN_Hping
598,DOS_SYN_Hping
607,DOS_SYN_Hping
614,DOS_SYN_Hping
615,DOS_SYN_Hping
627,DOS_SYN_Hping
634,DOS_SYN_Hping
636,DOS_SYN_Hping
644,DOS_SYN_Hping
645,DOS_SYN_Hping
649,DOS_SYN_Hping
650,DOS_SYN_Hping
656,DOS_SYN_Hping
657,DOS_SYN_Hping
658,DOS_SYN_Hping
661,DOS_SYN_Hping
670,DOS_SYN_Hping
677,DOS_SYN_Hping
687,DOS_SYN_Hping
689,DOS_SYN_Hping
691,DOS_SYN_Hping
698,DOS_SYN_Hping
709,DOS_SYN_Hping
717,DOS_SYN_Hping
719,DOS_SYN_Hping
720,DOS_SYN_Hping
721,DOS_SYN_Hping
725,DOS_SYN_Hping
731,DOS_SYN_Hping
732,DOS_SYN_Hping
757,DOS_SYN_Hping
762,DOS_SYN_Hping
768,DOS_SYN_Hping
776,DOS_SYN_Hping
778,DOS_SYN_Hping
783,DOS_SYN_Hping
802,DOS_SYN_Hping
803,DOS_SYN_Hping
804,DOS_SYN_Hping
807,DOS_SYN_Hping
808,DOS_SYN_Hping
816,DOS_SYN_Hping
817,DOS_SYN_Hping
820,DOS_SYN_Hping
826,DOS_SYN_Hping
829,DOS_SYN_Hping
840,DOS_SYN_Hping
844,DOS_SYN_Hping
